"Distributed water use by selected industries(a) and households, Australia"
,"Agriculture, forestry and fishing (GL)","Households (GL)","Manufacturing (GL)","Mining (GL)","Other industries (GL)"
"2014-15","7,414","1,691","255","113","523"
"2015-16","6,332","1,748","246","100","526"
"2016-17","7,521","1,724","252","105","556"
"2017-18","8,108","1,799","252","125","600"
"2018-19","5,759","1,813","248","132","589"
"2019-20","4,314","1,812","262","147","564"
"2020-21","6,820","1,804","244","107","574"
"2021-22","7,335","1,772","237","107","594"
"2022-23","6,291","1,753","226","116","615"
"2023-24","7,618","1,861","235","132","620"

" a. Does not include the Hydroelectricity generation or Water supply, sewerage and drainage service industries."

" Source: Australian Bureau of Statistics, Water Account, Australia 2023-24 financial year"
